code,label,description,parent,kind,in_plot
T3991,T39.91,"Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, accidental (unintentional)",T399,extension,1
T3992,T39.92,"Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, intentional self-harm",T399,extension,1
T3993,T39.93,"Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, assault",T399,extension,1
T3994,T39.94,"Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, undetermined",T399,extension,1
T40,T40,Poisoning by narcotics and psychodysleptics [hallucinogens],T36-T50,category,0
T400,T40.0,Opium,T40,subcategory,1
T401,T40.1,Heroin,T40,subcategory,1
T402,T40.2,Other opioids,T40,subcategory,1
T403,T40.3,Methadone,T40,subcategory,1
T404,T40.4,Other synthetic narcotics,T40,subcategory,1
T405,T40.5,Cocaine,T40,subcategory,1
T406,T40.6,Other and unspecified narcotics,T40,subcategory,1
T407,T40.7,Cannabis (derivatives),T40,subcategory,1
T408,T40.8,Lysergide [LSD],T40,subcategory,1
T409,T40.9,Other and unspecified psychodysleptics [hallucinogens],T40,subcategory,1
T41,T41,Poisoning by anaesthetics and therapeutic gases,T36-T50,category,0
T410,T41.0,Inhaled anaesthetics,T41,subcategory,1
T412,T41.2,Other and unspecified general anaesthetics,T41,subcategory,1
T414,T41.4,"Anaesthetic, unspecified",T41,subcategory,1
T42,T42,"Poisoning by antiepileptic, sedative-hypnotic and anti-Parkinsonism drugs",T36-T50,category,0
T420,T42.0,Hydantoin derivatives,T42,subcategory,1
T421,T42.1,Iminostilbenes,T42,subcategory,1
T422,T42.2,Succinimides and oxazolidinediones,T42,subcategory,1
T423,T42.3,Barbiturates,T42,subcategory,1
T424,T42.4,Benzodiazepines,T42,subcategory,1
T425,T42.5,"Mixed antiepileptics, not elsewhere classified",T42,subcategory,1
T426,T42.6,Other antiepileptic and sedative-hypnotic drugs,T42,subcategory,1
T427,T42.7,"Antiepileptic and sedative-hypnotic drugs, unspecified",T42,subcategory,1
T4271,T42.71,"Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, accidental (unintentional)",T427,extension,1
T4272,T42.72,"Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, intentional self-harm",T427,extension,1
T4273,T42.73,"Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, assault",T427,extension,1
T4274,T42.74,"Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, undetermined",T427,extension,1
T428,T42.8,Anti-Parkinsonism drugs and other central muscle-tone depressants,T42,subcategory,1
T43,T43,"Poisoning by psychotropic drugs, not elsewhere classified",T36-T50,category,0
T430,T43.0,Tricyclic and tetracyclic antidepressants,T43,subcategory,1
T431,T43.1,Monoamine-oxidase-inhibitor antidepressants,T43,subcategory,1
T432,T43.2,Other and unspecified antidepressants,T43,subcategory,1
T433,T43.3,Phenothiazine antipsychotics and neuroleptics,T43,subcategory,1
T434,T43.4,Butyrophenone and thioxanthene neuroleptics,T43,subcategory,1
T435,T43.5,Other and unspecified antipsychotics and neuroleptics,T43,subcategory,1
T436,T43.6,Psychostimulants with abuse potential,T43,subcategory,1
T438,T43.8,"Other psychotropic drugs, not elsewhere classified",T43,subcategory,1
T439,T43.9,"Psychotropic drug, unspecified",T43,subcategory,1
T44,T44,Poisoning by drugs primarily affecting the autonomic nervous system,T36-T50,category,0
T440,T44.0,Anticholinesterase agents,T44,subcategory,1
T441,T44.1,Other parasympathomimetics [cholinergics],T44,subcategory,1
T443,T44.3,"Other parasympatholytics [anticholinergics and antimuscarines] and spasmolytics, not elsewhere classified",T44,subcategory,1
T444,T44.4,"Predominantly Alpha-adrenoreceptor agonists, not elsewhere classified",T44,subcategory,1
T445,T44.5,"Predominantly Beta-adrenoreceptor agonists, not elsewhere classified",T44,subcategory,1
T446,T44.6,"Alpha-Adrenoreceeptor antagonists, not elsewhere classified",T44,subcategory,1
T447,T44.7,"Beta-Adrenoreceeptor antagonists, not elsewhere classified",T44,subcategory,1
T448,T44.8,"Centrally acting and afrenergic-neuron-blocking agents, not elsewhere classified",T44,subcategory,1
T449,T44.9,Other and unspecified drugs primarily affecting the nervous system,T44,subcategory,1
T45,T45,"Poisoning by primarily systemic and haematological agents, not elsewhere classified",T36-T50,category,0
T450,T45.0,Antiallergic and antiemetic drugs,T45,subcategory,1
T451,T45.1,Antineoplastic and immunosuppressive drugs,T45,subcategory,1
T452,T45.2,"Vitamins, not elsewhere classified",T45,subcategory,1
T454,T45.4,Iron and its compounds,T45,subcategory,1
T455,T45.5,Anticoagulants,T45,subcategory,1
T4551,T45.51,"Poisoning by, adverse effect of and underdosing of anticoagulants",T455,extension,1
T4552,T45.52,"Poisoning by, adverse effect of and underdosing of antithrombotic drugs",T455,extension,1
T456,T45.6,Fibrinolysis-affecting drugs,T45,subcategory,1
T458,T45.8,Other primarily systemic and haematological agents,T45,subcategory,1
T459,T45.9,"Primarily systemic and haematological agent, unspecified",T45,subcategory,1
T4591,T45.91,"Poisoning by unspecified primarily systemic and hematological agent, accidental (unintentional)",T459,extension,1
T4592,T45.92,"Poisoning by unspecified primarily systemic and hematological agent, intentional self-harm",T459,extension,1
T4593,T45.93,"Poisoning by unspecified primarily systemic and hematological agent, assault",T459,extension,1
T4594,T45.94,"Poisoning by unspecified primarily systemic and hematological agent, undetermined",T459,extension,1
T46,T46,Poisoning by agents primarily affecting the cardiovascular system,T36-T50,category,0
T460,T46.0,Cardiac-stimulant glycosides and drugs of similar action,T46,subcategory,1
T461,T46.1,Calcium-channel blockers,T46,subcategory,1
T462,T46.2,"Other antidysrhythmic drugs, not elsewhere classified",T46,subcategory,1
T463,T46.3,"Coronary vasodilators, not elsewhere classified",T46,subcategory,1
T464,T46.4,Angiotensin-converting-enzyme inhibitors,T46,subcategory,1
T465,T46.5,"Other antihypertensive drugs, not elsewhere classified",T46,subcategory,1
T466,T46.6,Antihyperlipidaemic and antiarteriosclerotic drugs,T46,subcategory,1
T467,T46.7,Peripheral vasodilators,T46,subcategory,1
T468,T46.8,"Antivaricose drugs, including sclerosing agents",T46,subcategory,1
T469,T46.9,Other and unspecified agents primarily affecting the cardiovascular system,T46,subcategory,1
T4690,T46.90,"Poisoning by, adverse effect of and underdosing of unspecified agents primarily affecting the cardiovascular system",T469,extension,1
T4699,T46.99,"Poisoning by, adverse effect of and underdosing of other agents primarily affecting the cardiovascular system",T469,extension,1
T47,T47,Poisoning by agents primarily affecting gastro-intestinal system,T36-T50,category,0
T470,T47.0,Histamine H(2)-receptor antagonists,T47,subcategory,1
T471,T47.1,Other antacids and anti-gastric-secretion drugs,T47,subcategory,1
T472,T47.2,Stimulant laxatives,T47,subcategory,1
T474,T47.4,Other laxatives,T47,subcategory,1
T476,T47.6,Antidiarrhoeal drugs,T47,subcategory,1
T478,T47.8,Other agents primarily affecting the gastro-intestinal system,T47,subcategory,1
T479,T47.9,"Agent primarily affecting the gastro-intestinal system, unspecified",T47,subcategory,1
T48,T48,Poisoning by agents primarily acting on smooth and skeletal muscles and the respiratory system,T36-T50,category,0
T480,T48.0,Oxytocic drugs,T48,subcategory,1
T481,T48.1,Skeletal muscle relaxants [neuromuscular blocking agents],T48,subcategory,1
T482,T48.2,Other and unspecified agents primarily acting on muscles,T48,subcategory,1
T4820,T48.20,"Poisoning by, adverse effect of and underdosing of unspecified drugs acting on muscles",T482,extension,1
T4829,T48.29,"Poisoning by, adverse effect of and underdosing of other drugs acting on muscles",T482,extension,1
T483,T48.3,Antitussives,T48,subcategory,1
T484,T48.4,Expectorants,T48,subcategory,1
T485,T48.5,Anti-common-cold drugs,T48,subcategory,1
T486,T48.6,"Antiasthmatics, not elsewhere classified",T48,subcategory,1
T49,T49,"Poisoning by topical agents primarily affecting skin and mucous membrane and by ophthalmological, otorhinolarygological and dental drugs",T36-T50,category,1
T490,T49.0,"Local antifungal, anti-infective and anti-inflammatory drugs, not elsewhere classified",T49,subcategory,1
T494,T49.4,"Keratolytics, keratoplastics and other hair treatment drugs and preparations",T49,subcategory,1
T497,T49.7,"Dental drugs, topically applied",T49,subcategory,1
T499,T49.9,"Topical agent, unspecified",T49,subcategory,1
T50,T50,"Poisoning by diuretics and other and unspecified drugs, medicaments and biological substances",T36-T50,category,1
T500,T50.0,Mineralocorticoids and their antagonists,T50,subcategory,1
T501,T50.1,Loop [high-ceiling] diuretics,T50,subcategory,1
T502,T50.2,"Carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics",T50,subcategory,1
T503,T50.3,"Electrolytic, caloric and water-balance agents",T50,subcategory,1
T504,T50.4,Drugs affecting uric acid metabolism,T50,subcategory,1
T506,T50.6,"Antidotes and chelating agents, not elsewhere classified",T50,subcategory,1
T508,T50.8,Diagnostic agents,T50,subcategory,1
T509,T50.9,"Other and unspecified drugs, medicaments and biological substances",T50,subcategory,1
T5090,T50.90,"Poisoning by, adverse effect of and underdosing of unspecified drugs, medicaments and biological substances",T509,extension,1
T5099,T50.99,"Poisoning by, adverse effect of and underdosing of other drugs, medicaments and biological substances",T509,extension,1
T51,T51,Toxic effect of alcohol,T51-T65,category,1
T510,T51.0,Ethanol,T51,subcategory,1
T511,T51.1,Methanol,T51,subcategory,1
T512,T51.2,2-Propanol,T51,subcategory,1
T513,T51.3,Fusel oil,T51,subcategory,1
T518,T51.8,Other alcohols,T51,subcategory,1
T519,T51.9,"Alcohol, unspecified",T51,subcategory,1
T5191,T51.91,"Toxic effect of unspecified alcohol, accidental (unintentional)",T519,extension,1
T5192,T51.92,"Toxic effect of unspecified alcohol, intentional self-harm",T519,extension,1
T5193,T51.93,"Toxic effect of unspecified alcohol, assault",T519,extension,1
T5194,T51.94,"Toxic effect of unspecified alcohol, undetermined",T519,extension,1
T52,T52,Toxic effect of organic solvents,T51-T65,category,0
T520,T52.0,Petroleum products,T52,subcategory,1
T528,T52.8,Other organic solvents,T52,subcategory,1
T529,T52.9,"Organic solvent, unspecified",T52,subcategory,1
T53,T53,Toxic effect of halogen derivatives of aliphatic and aromatic hydrocarbone,T51-T65,category,0
T530,T53.0,Carbon tetrachloride,T53,subcategory,1
T54,T54,Toxic effect of corrosive substances,T51-T65,category,0
T542,T54.2,Corrosive acids and acid-like substances,T54,subcategory,1
T543,T54.3,Corrosive alkalis and alklali-like substances,T54,subcategory,1
T549,T54.9,"Corrosive substance, unspecified",T54,subcategory,1
T55,T55,Toxic effect of soaps and detergents,T51-T65,category,1
T56,T56,Toxic effect of metals,T51-T65,category,0
T561,T56.1,Mercury and its compounds,T56,subcategory,1
T568,T56.8,Other metals,T56,subcategory,1
T57,T57,Toxic effect of other inorganic substances,T51-T65,category,0
T578,T57.8,Other specified inorganic substances,T57,subcategory,1
T58,T58,Toxic effect of carbon monoxide,T51-T65,category,1
T59,T59,"Toxic effect of other gases, fumes and vapours",T51-T65,category,0
T594,T59.4,Chlorine gas,T59,subcategory,1
T595,T59.5,Fluorine gas and hydrogen fluoride,T59,subcategory,1
T596,T59.6,Hydrogen sulphide,T59,subcategory,1
T597,T59.7,Carbon dioxide,T59,subcategory,1
T598,T59.8,"Other specified gases, fumes and vapours",T59,subcategory,1
T5981,T59.81,Toxic effect of smoke,T598,extension,1
T5989,T59.89,"Toxic effect of other specified gases, fumes and vapors",T598,extension,1
T599,T59.9,"Gases, fumes and vapours, unspecified",T59,subcategory,1
T60,T60,Toxic effect of pesticides,T51-T65,category,0
T603,T60.3,Herbicides and fungicides,T60,subcategory,1
T604,T60.4,Rodenticides,T60,subcategory,1
T608,T60.8,Other pesticides,T60,subcategory,1
T609,T60.9,"Pesticide, unspecified",T60,subcategory,1
T61,T61,Toxic effect of noxious substances eaten as seafood,T51-T65,category,1
T611,T61.1,Scombroid fish poisoning,T61,subcategory,1
T612,T61.2,Other fish and shellfish poisoning,T61,subcategory,1
T619,T61.9,Toxic effect of unspecified seafood,T61,subcategory,1
T62,T62,Toxic effect of other noxious substances eaten as food,T51-T65,category,0
T620,T62.0,Ingested mushrooms,T62,subcategory,1
T622,T62.2,Other ingested (parts of) plant(s),T62,subcategory,1
T628,T62.8,Other specified noxious substances eaten as food,T62,subcategory,1
T629,T62.9,"Noxious substance eaten as food, unspecified",T62,subcategory,1
T63,T63,Toxic effect of contact with venomous animals,T51-T65,category,1
T630,T63.0,Snake venom,T63,subcategory,1
T632,T63.2,Venom of scorpion,T63,subcategory,1
T633,T63.3,Venom of spider,T63,subcategory,1
T634,T63.4,Venom of other arthropods,T63,subcategory,1
T639,T63.9,Toxic effect of contact with unspecified venomous animal,T63,subcategory,1
T65,T65,Toxic effect of other and unspecified substances,T51-T65,category,1
T656,T65.6,"Paints and dyes, not elsewhere classified",T65,subcategory,1
T658,T65.8,Toxic effect of other specified substances,T65,subcategory,1
T659,T65.9,Toxic effect of unspecified substance,T65,subcategory,1
T66,T66,Unspecified effects of radiation,T66-T78,category,1
T67,T67,Effects of heat and light,T66-T78,category,1
T670,T67.0,Heatstroke and sunstroke,T67,subcategory,1
T671,T67.1,Heat syncope,T67,subcategory,1
T673,T67.3,"Heat exhaustion, anhydrotic",T67,subcategory,1
T674,T67.4,Heat exhaustion due to salt depletion,T67,subcategory,1
T675,T67.5,"Heat exhaustion, unspecified",T67,subcategory,1
T676,T67.6,"Heat fatigue, transient",T67,subcategory,1
T677,T67.7,Heat oedema,T67,subcategory,1
T679,T67.9,"Effects of heat and light, unspecified",T67,subcategory,1
T68,T68,Hypothermia,T66-T78,category,1
T69,T69,Other effects of reduced temperature,T66-T78,category,0
T690,T69.0,Immersion hand and foot,T69,subcategory,1
T691,T69.1,Chilblains,T69,subcategory,1
T70,T70,Effects of air pressure and water pressure,T66-T78,category,1
T700,T70.0,Otitic barotrauma,T70,subcategory,1
T701,T70.1,Sinus barotrauma,T70,subcategory,1
T702,T70.2,Other and unspecified effects of high altitude,T70,subcategory,1
T703,T70.3,Caisson disease [decompression sickness],T70,subcategory,1
T709,T70.9,"Effect of air pressure and water pressure, unspecified",T70,subcategory,1
T71,T71,Asphyxiation,T66-T78,category,1
T711,T71.1,Asphyxiation due to mechanical threat to breathing,T71,subcategory,0
T7111,T71.11,Asphyxiation due to smothering under pillow,T711,extension,1
T7112,T71.12,Asphyxiation due to plastic bag,T711,extension,1
T7113,T71.13,Asphyxiation due to being trapped in bed linens,T711,extension,1
T7114,T71.14,Asphyxiation due to smothering under another person's body (in bed),T711,extension,1
T7115,T71.15,Asphyxiation due to smothering in furniture,T711,extension,1
T7116,T71.16,Asphyxiation due to hanging,T711,extension,1
T7119,T71.19,Asphyxiation due to mechanical threat to breathing due to other causes,T711,extension,1
T712,T71.2,Asphyxiation due to systemic oxygen deficiency due to low oxygen content in ambient air,T71,subcategory,0
T7120,T71.20,Asphyxiation due to systemic oxygen deficiency due to low oxygen content in ambient air due to unspecified cause,T712,extension,1
T7121,T71.21,Asphyxiation due to cave-in or falling earth,T712,extension,1
T7122,T71.22,Asphyxiation due to being trapped in a car trunk,T712,extension,1
T7123,T71.23,Asphyxiation due to being trapped in a (discarded) refrigerator,T712,extension,1
T7129,T71.29,Asphyxiation due to being trapped in other low oxygen environment,T712,extension,1
T719,T71.9,Asphyxiation due to unspecified cause,T71,subcategory,1
T73,T73,Effects of other deprivation,T66-T78,category,0
T730,T73.0,Effects of hunger,T73,subcategory,1
T731,T73.1,Effects of thirst,T73,subcategory,1
T732,T73.2,Exhaustion due to exposure,T73,subcategory,1
T733,T73.3,Exhaustion due to excessive exertion,T73,subcategory,1
T74,T74,Maltreatment syndromes,T66-T78,category,1
T741,T74.1,Physical abuse,T74,subcategory,1
T742,T74.2,Sexual abuse,T74,subcategory,1
T743,T74.3,Psychological abuse,T74,subcategory,1
T748,T74.8,Other maltreatment syndromes,T74,subcategory,1
T749,T74.9,"Maltreatment syndrome, unspecified",T74,subcategory,1
T75,T75,Effects of other external causes,T66-T78,category,0
T750,T75.0,Effects of lightning,T75,subcategory,1
T751,T75.1,Drowning and nonfatal submersion,T75,subcategory,1
T752,T75.2,Effects of vibration,T75,subcategory,1
T753,T75.3,Motion sickness,T75,subcategory,1
T754,T75.4,Effects of electric current,T75,subcategory,1
T78,T78,"Adverse effects, not elsewhere classified",T66-T78,category,1
T780,T78.0,Anaphylactic shock due to adverse food reaction,T78,subcategory,1
T781,T78.1,"Other adverse food reactions, not elsewhere classified",T78,subcategory,1
T782,T78.2,"Anaphylactic shock, unspecified",T78,subcategory,1
T783,T78.3,Angioneurotic oedema,T78,subcategory,1
T784,T78.4,"Allergy, unspecified",T78,subcategory,1
T7840,T78.40,"Allergy, unspecified",T784,extension,1
T788,T78.8,"Other adverse effects, not elsewhere classified",T78,subcategory,1
T789,T78.9,"Adverse effect, unspecified",T78,subcategory,1
T79,T79,"Certain early complications of trauma, not elsewhere classified",T79-T79,category,1
T790,T79.0,Air embolism (traumatic),T79,subcategory,1
T791,T79.1,Fat embolism (traumatic),T79,subcategory,1
T792,T79.2,Traumatic secondary and recurrent haemorrhage,T79,subcategory,1
T793,T79.3,"Post-traumatic wound infection, not elsewhere classified",T79,subcategory,1
T794,T79.4,Traumatic shock,T79,subcategory,1
T795,T79.5,Traumatic anuria,T79,subcategory,1
T796,T79.6,Traumatic ischaemia of muscle,T79,subcategory,1
T797,T79.7,Traumatic subcutaneous emphysema,T79,subcategory,1
T798,T79.8,Other early complications of trauma,T79,subcategory,1
T799,T79.9,Unspecified early complication of trauma,T79,subcategory,1
T80,T80,"Complications following infusion, transfusion and therapeutic injection",T80-T88,category,1
T800,T80.0,"Air embolism following infusion, transfusion and therapeutic injection",T80,subcategory,1
T801,T80.1,"Vascular complications following infusion, transfusion and therapeutic injection",T80,subcategory,1
T802,T80.2,"Infections following infusion, transfusion and therapeutic injection",T80,subcategory,1
T803,T80.3,ABO incompatibility reaction,T80,subcategory,1
T805,T80.5,Anaphylactic shock due to serum,T80,subcategory,1
T806,T80.6,Other serum reactions,T80,subcategory,1
T808,T80.8,"Other complications following infusion, transfusion and therapeutic injection",T80,subcategory,1
T809,T80.9,"Unspecified complication following infusion, transfusion and therapeutic injection",T80,subcategory,1
T81,T81,"Complications of procedures, not elsewhere classified",T80-T88,category,0
T810,T81.0,"Haemorrhage and haematoma complicating a procedure, not elsewhere classified",T81,subcategory,1
T811,T81.1,"Shock during or resulting from a procedure, not elsewhere classified",T81,subcategory,1
T812,T81.2,"Accidental puncture and laceration during a procedure, not elsewhere classified",T81,subcategory,1
T813,T81.3,"Disruption of operation wound, not elsewhere classified",T81,subcategory,1
T814,T81.4,"Infection following a procedure, not elsewhere classified",T81,subcategory,1
T815,T81.5,Foreign body accidentally left in body cavity or operation wound following a procedure,T81,subcategory,1
T8150,T81.50,Unspecified complication of foreign body accidentally left in body following procedure,T815,extension,1
T8151,T81.51,Adhesions due to foreign body accidentally left in body following procedure,T815,extension,1
T8152,T81.52,Obstruction due to foreign body accidentally left in body following procedure,T815,extension,1
T8153,T81.53,Perforation due to foreign body accidentally left in body following procedure,T815,extension,1
T816,T81.6,Acute reaction to foreign substance accidentally left during a procedure,T81,subcategory,1
T817,T81.7,"Vascular complications following a procedure, not elsewhere classified",T81,subcategory,1
T8171,T81.71,"Complication of artery following a procedure, not elsewhere classified",T817,extension,1
T8172,T81.72,"Complication of vein following a procedure, not elsewhere classified",T817,extension,1
T818,T81.8,"Other complications of procedures, not elsewhere classified",T81,subcategory,1
T8183,T81.83,Persistent postprocedural fistula,T818,extension,1
T819,T81.9,Unspecified complication of procedure,T81,subcategory,1
T82,T82,"Complications of cardiac and vascular prosthetic devices, implants and grafts",T80-T88,category,1
T820,T82.0,Mechanical complication of heart valve prosthesis,T82,subcategory,1
T821,T82.1,Mechanical complication of cardiac electronic device,T82,subcategory,1
T822,T82.2,Mechanical complication of coronary artery bypass and valve grafts,T82,subcategory,1
T823,T82.3,Mechanical complication of other vascular grafts,T82,subcategory,1
T824,T82.4,Mechanical complication of vascular dialysis catheter,T82,subcategory,1
T825,T82.5,Mechanical complication of other cardiac and vascular devices and implants,T82,subcategory,1
T826,T82.6,Infection and inflammatory reaction due to cardiac valve prosthesis,T82,subcategory,1
T827,T82.7,"Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts",T82,subcategory,1
T828,T82.8,"Other complications of cardiac and vascular prosthetic devices, implants and grafts",T82,subcategory,1
T8285,T82.85,"Stenosis due to cardiac and vascular prosthetic devices, implants and grafts",T828,extension,1
T829,T82.9,"Unspecified complication of cardiac and vascular prosthetic device, implant and graft",T82,subcategory,1
T83,T83,"Complications of genito-urinary prosthetic devices, implants and grafts",T80-T88,category,0
T830,T83.0,Mechanical complication of urinary (indwelling) catheter,T83,subcategory,1
T831,T83.1,Mechanical complication of other urinary devices and implants,T83,subcategory,1
T832,T83.2,Mechanical complication of graft of urinary organ,T83,subcategory,1
T833,T83.3,Mechanical complication of intra-uterine contraceptive device,T83,subcategory,1
T834,T83.4,"Mechanical complication of other prosthetic devices, implants and grafts in genital tract",T83,subcategory,1
T835,T83.5,"Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system",T83,subcategory,1
T836,T83.6,"Infection and inflammatory reaction due to prosthetic device, implant and graft in genital tract",T83,subcategory,1
T838,T83.8,"Other complications of genito-urinary prosthetic devices, implants and grafts",T83,subcategory,1
T839,T83.9,"Unspecified complication of genito-urinary prosthetic device, implant and graft",T83,subcategory,1
T84,T84,"Complications of internal orthopaedic prosthetic devices, implants and grafts",T80-T88,category,0
T840,T84.0,Mechanical complication of internal joint prosthesis,T84,subcategory,1
T841,T84.1,Mechanical complication of internal fixation device of bones of limb,T84,subcategory,1
T842,T84.2,Mechanical complication of internal fixation device of other bones,T84,subcategory,1
T843,T84.3,"Mechanical complication of other bone devices, implants and grafts",T84,subcategory,1
T844,T84.4,"Mechanical complication of other internal orthopaedic devices, imnplants and grafts",T84,subcategory,1
T845,T84.5,Infection and inflammatory reaction due to internal joint prosthesis,T84,subcategory,1
T846,T84.6,Infection and inflammatory reaction due to internal fixation device [any site],T84,subcategory,1
T847,T84.7,"Infection and inflammatory reaction due to other internal orthopaedic prosthetic devices, implants and grafts",T84,subcategory,1
T848,T84.8,"Other complications of internal orthopaedic prosthetic devices, implants and grafts",T84,subcategory,1
T849,T84.9,"Unspecified complication of internal orthopaedic prosthetic device, implant and graft",T84,subcategory,1
T85,T85,"Complications of other internal prosthetic devices, implants and grafts",T80-T88,category,1
T850,T85.0,Mechanical complication of ventricular intracranial (communicating) shunt,T85,subcategory,1
T851,T85.1,Mechanical complication of implanted electronic stimulator of nervous system,T85,subcategory,1
T852,T85.2,Mechanical complication of intraocular lens,T85,subcategory,1
T853,T85.3,"Mechanical complication of other ocular prosthetic devices, imnplants and grafts",T85,subcategory,1
T854,T85.4,Mechanical complication of breast prosthesis and implant,T85,subcategory,1
T855,T85.5,"Mechanical complication of gastro-intestinal prosthetic devices, implants and grafts",T85,subcategory,1
T856,T85.6,"Mechanical complication of other specified internal prosthetic devices, implants and grafts",T85,subcategory,1
T857,T85.7,"Infection and inflammatory reaction due to other internal prosthetic devices, implants and grafts",T85,subcategory,1
T858,T85.8,"Other complications of internal prosthetic devices, implants and grafts, not elsewhere classified",T85,subcategory,1
T859,T85.9,"Unspecified complication of internal prosthetic device, implant and graft",T85,subcategory,1
T86,T86,Failure and rejection of transplanted organs and tissues,T80-T88,category,1
T860,T86.0,Bone-marrow transplant rejection,T86,subcategory,1
T861,T86.1,Kidney transplant failure and rejection,T86,subcategory,1
T862,T86.2,Heart transplant failure and rejection,T86,subcategory,1
T864,T86.4,Liver transplant failure and rejection,T86,subcategory,1
T868,T86.8,Failure and rejection of other transplanted organs and tissues,T86,subcategory,1
T869,T86.9,Failure and rejection of unspecified transplanted organ and tissue,T86,subcategory,1
T87,T87,Complications peculiar to reattachment and amputation,T80-T88,category,1
T870,T87.0,Complications of reattached (part of) upper extremity,T87,subcategory,1
T872,T87.2,Complications of other reattached body part,T87,subcategory,1
T873,T87.3,Neuroma of amputation stump,T87,subcategory,1
T874,T87.4,Infection of amputation stump,T87,subcategory,1
T875,T87.5,Necrosis of amputation stump,T87,subcategory,1
T876,T87.6,Other and unspecified complications of amputation stump,T87,subcategory,1
T88,T88,"Other complications of surgical and medical care, not elsewhere classified",T80-T88,category,0
T881,T88.1,"Other complications following immunisation, not elsewhere classified",T88,subcategory,1
T882,T88.2,Shock due to anaesthesia,T88,subcategory,1
T883,T88.3,Malignant hyperthermia due to anaesthesis,T88,subcategory,1
T884,T88.4,Failed or difficult intubation,T88,subcategory,1
T885,T88.5,Other complications of anaesthesia,T88,subcategory,1
T886,T88.6,Anaphylactic shock due to adverse effect of correct drug or medicament properly administered,T88,subcategory,1
T887,T88.7,Unspecified adverse effect of drug or medicament,T88,subcategory,1
T888,T88.8,"Other specified complications of surgical and medical care, not elsewhere classified",T88,subcategory,1
T889,T88.9,"Complication of surgical and medical care, unspecified",T88,subcategory,1
T90,T90,Sequelae of injuries of head,T90-T98,category,1
T900,T90.0,Sequelae of superficial injury of head,T90,subcategory,1
T901,T90.1,Sequelae of open wound of head,T90,subcategory,1
T902,T90.2,Sequelae of fracture of skull and facial bones,T90,subcategory,1
T903,T90.3,Sequelae of injury of cranial nerves,T90,subcategory,1
T904,T90.4,Sequelae of injury of eye and orbit,T90,subcategory,1
T905,T90.5,Sequelae of intracranial injury,T90,subcategory,1
T908,T90.8,Sequelae of other specified injuries of head,T90,subcategory,1
T909,T90.9,Sequelae of unspecified injury of head,T90,subcategory,1
T91,T91,Sequelae of injuries of neck and trunk,T90-T98,category,0
T910,T91.0,Sequelae of superficial injury and open wound of neck and trunk,T91,subcategory,1
T911,T91.1,Sequelae of fracture of spine,T91,subcategory,1
T912,T91.2,Sequelae of other fracture of thorax and pelvis,T91,subcategory,1
T913,T91.3,Sequelae of injury of spinal cord,T91,subcategory,1
T915,T91.5,Sequelae of injury of intra-abdominal and pelvic organs,T91,subcategory,1
T918,T91.8,Sequelae of other specified injuries of neck and trunk,T91,subcategory,1
T919,T91.9,Sequelae of unspecified injury of neck and trunk,T91,subcategory,1
T92,T92,Sequelae of injuries of upper limb,T90-T98,category,0
T920,T92.0,Sequelae of open wound of upper limb,T92,subcategory,1
T921,T92.1,Sequelae of fracture of arm,T92,subcategory,1
T922,T92.2,Sequelae of fracture at wrist and hand level,T92,subcategory,1
T923,T92.3,"Sequelae of dislocation, sprain and strain of upper limb",T92,subcategory,1
T924,T92.4,Sequelae of injury of nerve of upper limb,T92,subcategory,1
T925,T92.5,Sequelae of injury of muscle and tendon of upper limb,T92,subcategory,1
T926,T92.6,Sequelae of crushing injury and traumatic amputation of upper limb,T92,subcategory,1
T928,T92.8,Sequelae of other specified injuries of upper limb,T92,subcategory,1
T929,T92.9,Sequelae of unspecified injury of upper limb,T92,subcategory,1
T93,T93,Sequelae of injuries of lower limb,T90-T98,category,0
T930,T93.0,Sequelae of open wound of lower limb,T93,subcategory,1
T931,T93.1,Sequelae of fracture of femur,T93,subcategory,1
T932,T93.2,Sequelae of other fractures of lower limb,T93,subcategory,1
T933,T93.3,"Sequelae of dislocation, sprain and strain of lower limb",T93,subcategory,1
T934,T93.4,Sequelae of injury of nerve of lower limb,T93,subcategory,1
T935,T93.5,Sequelae of injury of muscle and tendon of lower limb,T93,subcategory,1
T936,T93.6,Sequelae of crushing injury and traumatic amputation of lower limb,T93,subcategory,1
T938,T93.8,Sequelae of other specified injuries of lower limb,T93,subcategory,1
T939,T93.9,Sequelae of unspecified injury of lower limb,T93,subcategory,1
T94,T94,Sequelae of injuries involving multiple and unspecified body regions,T90-T98,category,1
T940,T94.0,Sequelae of injuries involving multiple body regions,T94,subcategory,1
T941,T94.1,"Sequelae of injuries, not specified by body region",T94,subcategory,1
T95,T95,"Sequelae of burns, corrosions and frostbite",T90-T98,category,1
